Ticker,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,P/E,P/B,Beta,Market Cap,Dividend Yield,Adj Close
EA,2018-01-02 00:00:00-05:00,103.95508412809637,107.7254742318848,103.1716231450276,107.18684387207031,4599100.0,0.0,0.0,22.854337712594948,3.795030586038462,0.796,37511155712,0.0055,
EA,2018-01-03 00:00:00-05:00,107.48065185546875,109.0279833063534,107.10851196935803,107.48065185546875,3210600.0,0.0,0.0,22.916983338053036,3.8054330780154637,0.796,37511155712,0.0055,
EA,2018-01-04 00:00:00-05:00,107.59815614147284,108.26409568077834,104.46431993877287,104.97357177734375,3777900.0,0.0,0.0,22.382424686000796,3.7166680278056843,0.796,37511155712,0.0055,
EA,2018-01-05 00:00:00-05:00,105.78639861288404,110.42839200401511,105.3652896969368,110.0660400390625,5963000.0,0.0,0.0,23.46823881429904,3.896970685422125,0.796,37511155712,0.0055,
EA,2018-01-08 00:00:00-05:00,111.15310008671176,111.80924434689406,108.9006554222908,110.87889099121094,4579100.0,0.0,0.0,23.641554582347744,3.925750282934816,0.796,37511155712,0.0055,
EA,2018-01-09 00:00:00-05:00,110.98661199023437,111.29999486672452,108.17595394647421,109.86038970947266,4111700.0,0.0,0.0,23.424390129951522,3.889689481287093,0.796,37511155712,0.0055,
EA,2018-01-10 00:00:00-05:00,109.19444801653414,110.95723133191325,108.98879120834607,109.92893981933594,2493600.0,0.0,0.0,23.439006358067363,3.892116549332104,0.796,37511155712,0.0055,
EA,2018-01-11 00:00:00-05:00,110.23253072064836,110.6634349822998,109.39031283013173,109.68411254882812,2788800.0,0.0,0.0,23.386804381413246,3.8834482562253267,0.796,37511155712,0.0055,
EA,2018-01-12 00:00:00-05:00,108.20532296446426,111.54481572129724,108.20532296446426,110.79073333740234,3467400.0,0.0,0.0,23.622757641237172,3.922628995092846,0.796,37511155712,0.0055,
EA,2018-01-16 00:00:00-05:00,111.64276654720402,112.32828931804926,109.30218633749806,109.60577392578125,3570800.0,0.0,0.0,23.370101050273185,3.8806746185307057,0.796,37511155712,0.0055,
EA,2018-01-17 00:00:00-05:00,110.66342494945543,111.08453385653564,109.2140245918009,110.80052947998047,2709000.0,0.0,0.0,23.624846370997965,3.922975834866891,0.796,37511155712,0.0055,
EA,2018-01-18 00:00:00-05:00,111.69172363289127,113.2390473592511,110.85929360869343,112.89628601074219,4353800.0,0.0,0.0,24.071702774145454,3.997177666433302,0.796,37511155712,0.0055,
