Date,AAPL,ADBE,ADI,AEP,AMAT,AMD,AMGN,AMZN,AVGO,BA,BAC,BIIB,BMRN,C,CAT,CCOEY,CMI,COF,CRM,CRSP,CSCO,DE,DUK,EA,ED,EIX,EMR,ETR,EXC,GILD,GOOGL,GS,HON,HPQ,IBM,ILMN,INTC,ITW,JPM,LRCX,MMM,MRVL,MS,MSFT,MU,NEE,NFLX,NOW,NRG,NTES,NVAX,NVDA,NXPI,ON,ORCL,PH,PNC,QCOM,REGN,SO,SWK,TFC,TTWO,TXN,USB,VERI,VRTX,VST,WFC
2018-01-02 00:00:00-05:00,40.6158905,177.6999969,79.77661896,57.4956665,49.12843704,10.97999954,145.3964386,59.45050049,215.173996,282.8864136,25.65783691,334.1700134,91.02999878,59.53815079,134.870636,1.99000001,148.0806732,88.52085876,104.2737961,25.17000008,31.89623451,143.774353,63.35314178,107.1868439,65.82727051,48.55360794,59.94596481,64.04402161,22.593647,57.39266586,53.59898376,221.0217743,128.9012299,17.376091,108.4709244,224.0299988,39.57987976,142.104599,89.60282898,171.5050812,146.1275635,21.23112106,42.93122101,79.93674469,42.88953018,33.20339584,201.0700073,131.7299957,24.50000191,62.40491104,26,4.930641651,107.7455292,21.80999947,41.98374176,179.6390381,115.7262726,54.70158005,382.6000061,35.6738472,143.8165741,38.12489319,112.8799973,88.23695374,42.57773209,23.21999931,152.9100037,15.90582657,50.62654877
2018-01-03 00:00:00-05:00,40.60881042,181.0399933,80.7663269,57.01129532,49.99911118,11.55000019,148.1400757,60.20999908,217.5270538,283.801239,25.57202339,339.8500061,92.08000183,59.72232056,135.0767517,2.02125001,149.7114868,88.36981201,105.1526413,23.52000046,32.15066528,144.4294434,63.15525436,107.4806595,65.20504761,48.16978073,60.49678421,63.33845139,22.29118347,57.82640076,54.51343536,218.964325,127.836235,17.4168396,111.4525528,230.3200073,38.23661423,142.6978912,89.6941452,174.4227295,146.1213684,21.89100266,43.0463829,80.30875397,44.17612457,32.49903488,205.0500031,132.9100037,24.48303795,61.26203918,27,5.255147934,107.8642502,22.78000069,42.95613098,181.1039276,115.7023315,55.32242584,393.7799988,35.46965027,144.3457336,38.53730011,113.8799973,90.62740326,42.99538803,23.72999954,152.0099945,15.9489975,51.01604843
2018-01-04 00:00:00-05:00,40.79745102,183.2200012,80.67795563,56.33638763,50.28625488,12.11999989,147.5157928,60.47949982,217.5996552,282.7244263,25.9066925,339.9899902,90.31999969,60.4589386,136.9318542,2.043750048,152.0030823,90.12937927,106.5408325,23.90999985,32.24163055,145.2574768,62.66046906,104.973587,64.4411087,47.81665802,60.58152771,62.44678497,21.97730255,57.2377739,54.72518921,222.0245514,129.5637512,17.54724693,113.7098694,232.9900055,37.53541565,142.8612366,90.97906494,175.220108,148.0313568,22.38831139,43.7044487,81.01559448,46.04217529,32.33204269,205.6300049,133.8500061,24.20328903,60.90732956,26.39999962,5.282849789,107.6724167,22.78000069,43.37931442,181.9307861,115.7102966,55.39794159,382.9500122,35.31838989,144.9090271,39.00315857,114.0199966,90.51038361,43.32636261,23.65999985,153.0700073,15.96626949,51.65415955
2018-01-05 00:00:00-05:00,41.26192856,185.3399963,81.00489044,56.21727371,50.5734024,11.88000011,148.3947296,61.45700073,218.8890228,294.3223267,26.02682877,342.4899902,90.26999664,60.3788681,139.0960846,2.043750048,151.7605286,90.13825989,107.9589767,26.80999947,32.68817139,145.8762054,62.37122726,110.0660629,64.37809753,48.34632492,61.37809753,61.96605682,21.79468155,57.71797562,55.45085907,220.8920898,130.4694366,17.72654724,114.2654037,228.1699982,37.79730225,142.7580872,90.39501953,177.9564514,149.1847839,21.99620247,43.68799591,82.02001953,44.98146439,32.47976303,209.9900055,135.0099945,24.35588264,61.67044067,25.79999924,5.327616692,107.8368607,22.82999992,43.64041519,183.1710663,115.8543549,55.76708603,385.1000061,35.37889481,145.5832825,39.1253624,116.9100037,91.20410919,43.59429169,23.40999985,155.6900024,16.13033676,52.00222397
2018-01-08 00:00:00-05:00,41.1086731,185.0399933,81.14630127,56.70956421,51.79604721,12.27999973,148.3536835,62.34349823,219.4128113,295.5708313,25.84662628,329.6499939,88.63999939,59.67428207,142.5915375,2.105999947,152.3125153,89.57840729,108.7179871,26.06999969,33.02720642,146.5950928,62.56912994,110.878891,65.28379822,49.28286362,61.18319321,62.67937469,22.02866364,57.62504196,55.64663315,217.6848755,129.7649841,17.79989815,114.9545364,227.0599976,37.79730225,144.0821991,90.52851105,179.2974854,148.7010956,22.15878868,43.50703049,82.10372925,44.7359314,32.74738312,212.0500031,135.3000031,24.72888947,61.7600174,27,5.490858555,108.0469437,22.96999931,44.09959793,184.7348328,116.0704193,55.59928513,372.519989,35.6965332,147.3584442,39.33156967,117.3700027,91.6387558,43.65733719,24.01000023,156.8899994,16.1476078,51.41383743
2018-01-09 00:00:00-05:00,41.10396194,186.6999969,80.97839355,56.04256821,50.81422043,11.81999969,150.6372681,62.63499832,216.3747101,303.4615173,25.9753437,336.3599854,89.13999939,60.29880142,142.9350433,2.127500057,152.1786652,90.3693161,109.0076065,25.48999977,32.82047653,150.6805267,61.83840942,109.8603973,64.59075165,48.76086426,61.28487778,62.12113571,21.77756119,60.49077606,55.57571411,219.5261993,130.8300018,17.77544785,115.2077255,242.8000031,36.85110855,145.191391,90.98742676,179.0166168,149.6250305,22.13965797,43.84429169,82.04789734,42.20205307,32.50759888,209.3099976,135.4499969,24.34740448,60.73536301,26.60000038,5.489375591,108.2022476,22.92000008,44.34363937,186.325592,118.2870026,54.76031113,368.6499939,35.25032806,148.1692505,39.7821579,114.9100037,92.26559448,43.95679092,23.27000046,156.0099945,15.94036102,51.59614563
2018-01-10 00:00:00-05:00,41.09452438,187.1100006,79.62639618,55.18504333,49.3692627,11.96000004,150.2101593,62.71649933,211.8054504,305.2055054,26.21562195,336.7200012,88.37000275,60.57103348,142.4541168,2.198750019,151.0078583,91.65788269,108.6580658,25.77000046,33.00239944,150.0799713,60.97826385,109.9289474,63.73226166,48.2388649,61.5136795,61.62490845,21.65771866,60.96325302,55.443367,219.8633575,131.7357025,17.97105217,115.4538574,242.5899963,35.90490341,143.8586426,91.98865509,173.6616211,149.5382538,22.13009644,44.36252975,81.67591095,42.53596497,32.2399826,212.5200043,136.2299957,23.94048119,59.99196625,42.40000153,5.532410622,108.8416748,22.63999939,44.10864258,185.6874542,119.7273712,54.75192261,366.4599915,34.75873566,145.9758301,40.2556572,115.5500031,91.68888092,44.28777313,23.37999916,157.3800049,15.84537888,52.30885315
2018-01-11 00:00:00-05:00,41.32794952,188.9199982,80.58075714,54.5736351,49.2766571,12.14000034,149.4708405,63.83399963,212.3453827,312.6960449,26.310009,333.0700073,89.98000336,60.49896622,145.3139954,2.213749886,153.8011475,92.79537964,108.9576721,28.44000053,33.15951157,152.3729706,60.34649658,109.6841278,63.31482315,47.83969116,62.60686111,61.38455582,21.92023087,61.23434448,55.53876114,220.5549469,132.4317474,18.26445198,115.4678879,240.0399933,36.67369461,145.3117523,92.48091125,171.3601227,150.2637939,22.13965797,44.58463287,81.91772461,42.05472946,32.22071457,217.2400055,137.5800018,24.25415611,58.64845276,39.59999847,5.542304039,108.9330139,23.07999992,44.2442131,187.2513123,121.2237625,54.89453888,368.2600098,34.22177505,147.2474976,40.59934616,116.9800034,92.49964142,44.66603088,23.18000031,158.3999939,16.00944519,52.21768951
2018-01-12 00:00:00-05:00,41.75471497,195.0500031,81.31417847,53.56522369,49.50819016,12.02000046,152.000885,65.26000214,212.9820404,320.4057617,26.76481247,335.9500122,90.22000122,61.52384186,146.258728,2.252500057,154.0353394,93.69293976,110.0961838,28.52000046,33.79624176,154.0471802,60.0572319,110.7907486,62.60598755,47.14879608,62.632267,60.64796066,21.90882301,61.20334244,56.46769333,222.1974182,133.3961182,18.68011475,114.7225037,244.7200012,36.53006744,146.6186981,94.00780487,170.8074188,151.6033173,22.79954338,45.34140778,83.33135986,42.04491425,32.1821785,221.2299957,138.1900024,24.33045006,58.9046402,32.20000076,5.515096664,109.2344742,23.56999969,44.75037766,188.7701569,121.5038376,54.8526001,366.9599915,33.9117012,148.0070801,40.58406448,117.3000031,94.21303558,44.90244293,23.32999992,157.9299927,16.03535271,51.83647919
2018-01-16 00:00:00-05:00,41.54252625,192.4600067,82.26853943,53.5969696,50.4807663,11.90999985,152.4116058,65.24299622,212.1439362,319.4051208,26.80771446,338.8500061,90.23999786,61.7400322,145.4085083,2.161250114,152.6721039,92.79537964,108.7479477,27.18000031,33.52335739,152.4457397,59.69187164,109.6057587,62.23581314,47.07971573,61.7170639,60.22151947,21.95447159,62.15602493,56.47018814,223.43367,132.406601,18.64751053,115.2217789,241.4199982,36.44559479,145.5009003,93.67407227,172.5108337,151.770752,22.55088997,44.91366196,82.16883087,42.15294647,32.22927856,221.5299988,139.7899933,23.65224838,57.6954689,33,5.444111824,109.0700455,23.5,44.82268906,188.6533203,122.4447556,57.26047516,370.2099915,33.77558136,145.9502106,40.53823471,113.9599991,94.38020325,45.05216599,22.88999939,155.7100067,15.52587605,51.7950592
