index,date,EPS,Ticker
2,2021-12-31,4.96,GILD
3,2020-12-31,0.0708,GILD
4,2019-12-31,4.24,GILD
0,2023-12-31,-12.34,MRNA
1,2022-12-31,21.22,MRNA
2,2021-12-31,30.28,MRNA
3,2020-12-31,-1.96,MRNA
4,2019-12-31,-1.55,MRNA
0,2023-12-31,-1.94,CRSP
1,2022-12-31,-8.36,CRSP
2,2021-12-31,4.97,CRSP
3,2020-12-31,-5.29,CRSP
4,2019-12-31,1.23,CRSP
0,2023-12-31,-5.41,NVAX
1,2022-12-31,-8.42,NVAX
2,2021-12-31,-23.44,NVAX
3,2020-12-31,-7.43,NVAX
4,2019-12-31,-5.4,NVAX
0,2023-12-31,0.89,BMRN
1,2022-12-31,0.76,BMRN
2,2021-12-31,-0.35,BMRN
3,2020-12-31,4.75,BMRN
4,2019-12-31,-0.13,BMRN
0,2023-12-31,16.25,JPM
1,2022-12-31,12.1,JPM
2,2021-12-31,15.39,JPM
3,2020-12-31,8.89,JPM
4,2019-12-31,10.75,JPM
0,2023-12-31,3.1,BAC
1,2022-12-31,3.21,BAC
2,2021-12-31,3.6,BAC
3,2020-12-31,1.88,BAC
4,2019-12-31,2.77,BAC
0,2023-12-31,4.88,WFC
1,2022-12-31,3.17,WFC
2,2021-12-31,4.99,WFC
3,2020-12-31,0.43,WFC
4,2019-12-31,4.08,WFC
0,2023-12-31,4.07,C
1,2022-12-31,7.16,C
2,2021-12-31,10.21,C
3,2020-12-31,4.75,C
4,2019-12-31,8.08,C
0,2023-12-31,23.2,GS
1,2022-12-31,30.57,GS
2,2021-12-31,60.35,GS
3,2020-12-31,25.01,GS
4,2019-12-31,21.25,GS
0,2023-12-31,5.24,MS
1,2022-12-31,6.23,MS
2,2021-12-31,8.16,MS
3,2020-12-31,6.55,MS
4,2019-12-31,5.26,MS
0,2023-12-31,3.27,USB
1,2022-12-31,3.69,USB
2,2021-12-31,5.11,USB
3,2020-12-31,3.06,USB
4,2019-12-31,4.16,USB
0,2023-12-31,12.78,PNC
1,2022-12-31,13.85,PNC
2,2021-12-31,12.7,PNC
3,2020-12-31,7.03,PNC
4,2019-12-31,11.43,PNC
0,2023-12-31,-0.82,TFC
1,2022-12-31,4.46,TFC
2,2021-12-31,4.51,TFC
3,2020-12-31,3.11,TFC
4,2019-12-31,3.76,TFC
0,2023-12-31,11.98,COF
1,2022-12-31,17.98,COF
2,2021-12-31,27.04,COF
3,2020-12-31,5.19,COF
4,2019-12-31,11.1,COF
0,2024-03-31,4.71,EA
1,2023-03-31,2.9,EA
2,2022-03-31,2.78,EA
3,2021-03-31,2.9,EA
4,2020-03-31,10.37,EA
0,2024-03-31,-22.01,TTWO
1,2023-03-31,-7.03,TTWO
2,2022-03-31,3.62,TTWO
3,2021-03-31,5.14,TTWO
4,2020-03-31,3.58,TTWO
0,2023-12-31,45.73,NTES
1,2022-12-31,30.57,NTES
2,2021-12-31,25.35,NTES
3,2020-12-31,18.25,NTES
4,2019-12-31,20.91,NTES
0,2024-03-31,103.71,CCOEY
1,2023-03-31,87.36,CCOEY
2,2022-03-31,76.24,CCOEY
3,2021-03-31,58.37,CCOEY
4,2020-03-31,37.35,CCOEY
0,2023-12-31,3.63,VST
1,2022-12-31,-2.86,VST
2,2021-12-31,-2.62,VST
3,2020-12-31,1.3,VST
4,2019-12-31,1.88,VST
0,2023-12-31,-0.89,NRG
1,2022-12-31,5.17,NRG
2,2021-12-31,8.93,NRG
3,2020-12-31,2.08,NRG
4,2019-12-31,15.76,NRG
0,2023-12-31,3.64,SO
1,2022-12-31,3.28,SO
2,2021-12-31,2.26,SO
3,2020-12-31,2.82,SO
4,2019-12-31,4.53,SO
0,2023-12-31,4.26,AEP
